symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOGL,2020-06-17 00:00:00+00:00,1452.54,1462.2,1435.12,1452.94,1530500,1452.54,1462.2,1435.12,1452.94,1530500,0.0,1.0
GOOGL,2020-06-18 00:00:00+00:00,1434.12,1452.97,1426.23,1449.85,1743071,1434.12,1452.97,1426.23,1449.85,1743071,0.0,1.0
GOOGL,2020-06-19 00:00:00+00:00,1424.64,1444.5,1419.0,1440.0,2639167,1424.64,1444.5,1419.0,1440.0,2639167,0.0,1.0
GOOGL,2020-06-22 00:00:00+00:00,1450.66,1450.95,1419.19,1425.01,1472072,1450.66,1450.95,1419.19,1425.01,1472072,0.0,1.0
GOOGL,2020-06-23 00:00:00+00:00,1463.98,1475.2,1445.0,1452.0,1887583,1463.98,1475.2,1445.0,1452.0,1887583,0.0,1.0
GOOGL,2020-06-24 00:00:00+00:00,1432.7,1475.79,1430.0,1463.28,1579579,1432.7,1475.79,1430.0,1463.28,1579579,0.0,1.0
GOOGL,2020-06-25 00:00:00+00:00,1441.1,1442.32,1419.54,1431.22,1197907,1441.1,1442.32,1419.54,1431.22,1197907,0.0,1.0
GOOGL,2020-06-26 00:00:00+00:00,1362.54,1437.02,1355.0,1432.63,4882014,1362.54,1437.02,1355.0,1432.63,4882014,0.0,1.0
GOOGL,2020-06-29 00:00:00+00:00,1397.17,1398.0,1351.65,1360.34,2253678,1397.17,1398.0,1351.65,1360.34,2253678,0.0,1.0
GOOGL,2020-06-30 00:00:00+00:00,1418.05,1424.0,1386.93,1396.88,2014320,1418.05,1424.0,1386.93,1396.88,2014320,0.0,1.0
GOOGL,2020-07-01 00:00:00+00:00,1442.0,1448.48,1414.18,1419.17,2109566,1442.0,1448.48,1414.18,1419.17,2109566,0.0,1.0
GOOGL,2020-07-02 00:00:00+00:00,1469.93,1488.52,1451.07,1451.84,2861202,1469.93,1488.52,1451.07,1451.84,2861202,0.0,1.0
GOOGL,2020-07-06 00:00:00+00:00,1499.65,1510.0,1476.98,1488.15,2235630,1499.65,1510.0,1476.98,1488.15,2235630,0.0,1.0
GOOGL,2020-07-07 00:00:00+00:00,1489.92,1521.32,1489.7,1496.13,2118194,1489.92,1521.32,1489.7,1496.13,2118194,0.0,1.0
GOOGL,2020-07-08 00:00:00+00:00,1503.6,1511.17,1492.3,1500.8,1588304,1503.6,1511.17,1492.3,1500.8,1588304,0.0,1.0
GOOGL,2020-07-09 00:00:00+00:00,1518.66,1529.14,1495.59,1509.93,2092013,1518.66,1529.14,1495.59,1509.93,2092013,0.0,1.0
GOOGL,2020-07-10 00:00:00+00:00,1539.01,1541.34,1500.72,1513.25,1796063,1539.01,1541.34,1500.72,1513.25,1796063,0.0,1.0
GOOGL,2020-07-13 00:00:00+00:00,1512.23,1576.36,1506.56,1549.94,2147729,1512.23,1576.36,1506.56,1549.94,2147729,0.0,1.0
GOOGL,2020-07-14 00:00:00+00:00,1520.86,1522.8,1485.93,1492.79,1905405,1520.86,1522.8,1485.93,1492.79,1905405,0.0,1.0
GOOGL,2020-07-15 00:00:00+00:00,1516.88,1536.33,1497.83,1523.23,1551326,1516.88,1536.33,1497.83,1523.23,1551326,0.0,1.0
GOOGL,2020-07-16 00:00:00+00:00,1514.92,1515.91,1488.27,1501.5,1324228,1514.92,1515.91,1488.27,1501.5,1324228,0.0,1.0
GOOGL,2020-07-17 00:00:00+00:00,1516.85,1523.43,1498.1,1516.91,1713251,1516.85,1523.43,1498.1,1516.91,1713251,0.0,1.0
GOOGL,2020-07-20 00:00:00+00:00,1563.84,1569.01,1502.7,1515.0,1490634,1563.84,1569.01,1502.7,1515.0,1490634,0.0,1.0
GOOGL,2020-07-21 00:00:00+00:00,1555.92,1587.05,1552.62,1585.03,1328089,1555.92,1587.05,1552.62,1585.03,1328089,0.0,1.0
GOOGL,2020-07-22 00:00:00+00:00,1564.85,1566.98,1543.23,1555.71,1224100,1564.85,1566.98,1543.23,1555.71,1224100,0.0,1.0
GOOGL,2020-07-23 00:00:00+00:00,1516.75,1570.35,1508.59,1565.93,1695498,1516.75,1570.35,1508.59,1565.93,1695498,0.0,1.0
GOOGL,2020-07-24 00:00:00+00:00,1508.21,1515.4273,1487.59,1499.19,1495381,1508.21,1515.4273,1487.59,1499.19,1495381,0.0,1.0
GOOGL,2020-07-27 00:00:00+00:00,1529.43,1537.56,1512.33,1513.26,1356185,1529.43,1537.56,1512.33,1513.26,1356185,0.0,1.0
GOOGL,2020-07-28 00:00:00+00:00,1503.65,1526.01,1500.52,1525.0,1545534,1503.65,1526.01,1500.52,1525.0,1545534,0.0,1.0
GOOGL,2020-07-29 00:00:00+00:00,1523.51,1533.33,1503.01,1505.0,1133773,1523.51,1533.33,1503.01,1505.0,1133773,0.0,1.0
GOOGL,2020-07-30 00:00:00+00:00,1538.37,1540.89,1495.17,1497.97,1802121,1538.37,1540.89,1495.17,1497.97,1802121,0.0,1.0
GOOGL,2020-07-31 00:00:00+00:00,1487.95,1505.02,1454.0,1497.05,4576382,1487.95,1505.02,1454.0,1497.05,4576382,0.0,1.0
GOOGL,2020-08-03 00:00:00+00:00,1482.76,1497.73,1471.72,1491.0,2276085,1482.76,1497.73,1471.72,1491.0,2276085,0.0,1.0
GOOGL,2020-08-04 00:00:00+00:00,1473.3,1493.11,1464.03,1486.71,1860609,1473.3,1493.11,1464.03,1486.71,1860609,0.0,1.0
GOOGL,2020-08-05 00:00:00+00:00,1479.09,1490.0,1471.215,1476.82,1457518,1479.09,1490.0,1471.215,1476.82,1457518,0.0,1.0
GOOGL,2020-08-06 00:00:00+00:00,1504.95,1506.27,1471.9,1476.15,1665261,1504.95,1506.27,1471.9,1476.15,1665261,0.0,1.0
GOOGL,2020-08-07 00:00:00+00:00,1498.37,1520.09,1486.27,1509.04,1386294,1498.37,1520.09,1486.27,1509.04,1386294,0.0,1.0
GOOGL,2020-08-10 00:00:00+00:00,1496.82,1507.15,1477.4901,1490.8,1027329,1496.82,1507.15,1477.4901,1490.8,1027329,0.0,1.0
GOOGL,2020-08-11 00:00:00+00:00,1480.54,1510.44,1478.19,1494.0,1554853,1480.54,1510.44,1478.19,1494.0,1554853,0.0,1.0
GOOGL,2020-08-12 00:00:00+00:00,1507.24,1511.67,1485.0,1487.1245,1126560,1507.24,1511.67,1485.0,1487.1245,1126560,0.0,1.0
GOOGL,2020-08-13 00:00:00+00:00,1516.65,1536.9744,1508.21,1508.21,1119711,1516.65,1536.9744,1508.21,1508.21,1119711,0.0,1.0
GOOGL,2020-08-14 00:00:00+00:00,1504.63,1519.785,1499.0,1513.61,1097059,1504.63,1519.785,1499.0,1513.61,1097059,0.0,1.0
GOOGL,2020-08-17 00:00:00+00:00,1516.24,1523.78,1505.0,1515.97,998010,1516.24,1523.78,1505.0,1515.97,998010,0.0,1.0
GOOGL,2020-08-18 00:00:00+00:00,1555.78,1557.37,1521.665,1526.12,1418850,1555.78,1557.37,1521.665,1526.12,1418850,0.0,1.0
GOOGL,2020-08-19 00:00:00+00:00,1544.61,1568.86,1540.0,1552.49,1523592,1544.61,1568.86,1540.0,1552.49,1523592,0.0,1.0
GOOGL,2020-08-20 00:00:00+00:00,1576.25,1580.17,1534.46,1539.97,1319131,1576.25,1580.17,1534.46,1539.97,1319131,0.0,1.0
GOOGL,2020-08-21 00:00:00+00:00,1575.57,1591.88,1562.31,1571.8,1742275,1575.57,1591.88,1562.31,1571.8,1742275,0.0,1.0
GOOGL,2020-08-24 00:00:00+00:00,1585.15,1608.78,1575.04,1592.47,1281893,1585.15,1608.78,1575.04,1592.47,1281893,0.0,1.0
GOOGL,2020-08-25 00:00:00+00:00,1605.85,1608.88,1577.88,1580.1,1257463,1605.85,1608.88,1577.88,1580.1,1257463,0.0,1.0
GOOGL,2020-08-26 00:00:00+00:00,1644.13,1652.79,1600.9754,1606.3,2609363,1644.13,1652.79,1600.9754,1606.3,2609363,0.0,1.0
GOOGL,2020-08-27 00:00:00+00:00,1628.52,1647.99,1618.8137,1646.61,1567503,1628.52,1647.99,1618.8137,1646.61,1567503,0.0,1.0
GOOGL,2020-08-28 00:00:00+00:00,1639.43,1641.35,1625.605,1629.47,1121195,1639.43,1641.35,1625.605,1629.47,1121195,0.0,1.0
GOOGL,2020-08-31 00:00:00+00:00,1629.53,1644.5,1625.33,1643.57,1321097,1629.53,1644.5,1625.33,1643.57,1321097,0.0,1.0
GOOGL,2020-09-01 00:00:00+00:00,1655.08,1659.22,1629.53,1632.16,1133766,1655.08,1659.22,1629.53,1632.16,1133766,0.0,1.0
GOOGL,2020-09-02 00:00:00+00:00,1717.39,1726.1022,1660.19,1668.01,2476072,1717.39,1726.1022,1660.19,1668.01,2476072,0.0,1.0
GOOGL,2020-09-03 00:00:00+00:00,1629.51,1700.0,1607.71,1699.52,3186287,1629.51,1700.0,1607.71,1699.52,3186287,0.0,1.0
GOOGL,2020-09-04 00:00:00+00:00,1581.21,1634.99,1537.9701,1609.0,2792533,1581.21,1634.99,1537.9701,1609.0,2792533,0.0,1.0
GOOGL,2020-09-08 00:00:00+00:00,1523.6,1555.55,1516.5,1525.0,2701586,1523.6,1555.55,1516.5,1525.0,2701586,0.0,1.0
GOOGL,2020-09-09 00:00:00+00:00,1547.23,1558.72,1525.17,1548.9,1962078,1547.23,1558.72,1525.17,1548.9,1962078,0.0,1.0
GOOGL,2020-09-10 00:00:00+00:00,1526.05,1573.66,1520.0,1550.18,1651194,1526.05,1573.66,1520.0,1550.18,1651194,0.0,1.0
GOOGL,2020-09-11 00:00:00+00:00,1515.76,1538.695,1493.02,1528.15,1535337,1515.76,1538.695,1493.02,1528.15,1535337,0.0,1.0
GOOGL,2020-09-14 00:00:00+00:00,1508.83,1557.0,1505.11,1531.6471,2133007,1508.83,1557.0,1505.11,1531.6471,2133007,0.0,1.0
GOOGL,2020-09-15 00:00:00+00:00,1535.12,1550.99,1522.1,1527.89,1152055,1535.12,1550.99,1522.1,1527.89,1152055,0.0,1.0
GOOGL,2020-09-16 00:00:00+00:00,1512.09,1554.37,1511.59,1542.48,1107169,1512.09,1554.37,1511.59,1542.48,1107169,0.0,1.0
GOOGL,2020-09-17 00:00:00+00:00,1487.04,1498.66,1462.46,1485.81,2000356,1487.04,1498.66,1462.46,1485.81,2000356,0.0,1.0
GOOGL,2020-09-18 00:00:00+00:00,1451.09,1495.2,1431.62,1488.3,3152788,1451.09,1495.2,1431.62,1488.3,3152788,0.0,1.0
GOOGL,2020-09-21 00:00:00+00:00,1430.14,1440.06,1402.68,1431.62,2845405,1430.14,1440.06,1402.68,1431.62,2845405,0.0,1.0
GOOGL,2020-09-22 00:00:00+00:00,1459.82,1463.97,1429.495,1450.32,1697542,1459.82,1463.97,1429.495,1450.32,1697542,0.0,1.0
